t_s	C_rate	V_V	Control_mode
156.0439	1.249846154	4.2631	1
157.0439	1.249846154	4.2632	1
158.044	1.249846154	4.2634	1
159.044	1.249846154	4.2636	1
160.0441	1.249846154	4.2638	1
161.0442	1.249846154	4.2638	1
162.0442	1.249884615	4.264	1
163.0443	1.249846154	4.2641	1
164.0443	1.249884615	4.2643	1
165.0444	1.249846154	4.2644	1
166.0444	1.249884615	4.2647	1
167.0445	1.249884615	4.2647	1
168.0446	1.249846154	4.2648	1
169.0446	1.249884615	4.265	1
170.0447	1.249846154	4.265	1
171.0437	1.249884615	4.2653	1
172.0438	1.249846154	4.2653	1
173.0438	1.249884615	4.2656	1
174.0439	1.249884615	4.2657	1
175.044	1.249846154	4.2657	1
176.044	1.249884615	4.266	1
177.0441	1.249884615	4.266	1
178.0441	1.249884615	4.2662	1
179.0442	1.249884615	4.2663	1
180.0442	1.249884615	4.2664	1
181.0443	1.249884615	4.2666	1
182.0444	1.249884615	4.2666	1
183.0444	1.249884615	4.2668	1
184.0445	1.249884615	4.2668	1
185.0445	1.249884615	4.267	1
186.0446	1.249884615	4.2671	1
187.0446	1.249884615	4.2673	1
188.0437	1.249846154	4.2674	1
189.0438	1.249846154	4.2676	1
190.0438	1.249884615	4.2677	1
191.0439	1.249884615	4.2678	1
192.0439	1.249884615	4.2679	1
193.044	1.249846154	4.2679	1
194.044	1.249884615	4.2681	1
195.0441	1.249846154	4.2682	1
196.0442	1.249846154	4.2683	1
197.0442	1.249846154	4.2684	1
198.0443	1.249846154	4.2685	1
199.0443	1.249884615	4.2687	1
200.0444	1.249846154	4.2688	1
201.0444	1.249884615	4.269	1
202.0445	1.249846154	4.2691	1
203.0446	1.249846154	4.2692	1
204.0446	1.249884615	4.2694	1
205.0447	1.249846154	4.2694	1
206.0437	1.249884615	4.2697	1
207.0438	1.249846154	4.2697	1
208.0438	1.249884615	4.2699	1
209.0439	1.249846154	4.27	1
210.044	1.249846154	4.2701	1
211.044	1.249884615	4.2704	1
212.0441	1.249846154	4.2704	1
213.0441	1.249884615	4.2706	1
214.0452	1.249846154	4.2707	1
215.0442	1.249884615	4.2709	1
216.0443	1.249846154	4.2709	1
217.0444	1.249884615	4.2711	1
218.0444	1.249884615	4.2713	1
219.0445	1.249884615	4.2713	1
220.0445	1.249884615	4.2716	1
221.0446	1.249846154	4.2716	1
222.0446	1.249884615	4.2718	1
223.0437	1.249846154	4.2719	1
224.0438	1.249884615	4.2721	1
225.0438	1.249884615	4.2722	1
226.0439	1.249846154	4.2722	1
227.0439	1.249884615	4.2725	1
228.044	1.249846154	4.2725	1
229.044	1.249884615	4.2727	1
230.0441	1.249846154	4.2728	1
231.0442	1.249884615	4.2731	1
232.0442	1.249884615	4.2732	1
233.0443	1.249846154	4.2733	1
234.0443	1.249884615	4.2735	1
235.0444	1.249846154	4.2735	1
236.0444	1.249884615	4.2738	1
237.0445	1.249846154	4.2739	1
238.0446	1.249884615	4.2741	1
239.0446	1.249846154	4.2742	1
240.0447	1.249846154	4.2742	1
241.0437	1.249846154	4.2746	1
242.0438	1.249846154	4.2745	1
243.0438	1.249846154	4.2748	1
244.0439	1.249846154	4.2748	1
245.044	1.249884615	4.275	1
246.044	1.249846154	4.2752	1
247.0441	1.249846154	4.2753	1
248.0441	1.249846154	4.2755	1
249.0442	1.249846154	4.2756	1
250.0442	1.249846154	4.2759	1
251.0443	1.249846154	4.2759	1
252.0444	1.249884615	4.2762	1
253.0444	1.249846154	4.2763	1
254.0445	1.249846154	4.2764	1
255.0445	1.249884615	4.2765	1
256.0446	1.249846154	4.2766	1
257.0446	1.249846154	4.2769	1
258.0437	1.249846154	4.277	1
259.0438	1.249846154	4.2771	1
260.0438	1.249846154	4.2773	1
261.0439	1.249846154	4.2774	1
262.0439	1.249846154	4.2776	1
263.044	1.249846154	4.2777	1
264.044	1.249846154	4.2779	1
265.0441	1.249846154	4.2781	1
266.0442	1.249846154	4.2782	1
267.0442	1.249846154	4.2783	1
268.0443	1.249846154	4.2785	1
269.0443	1.249846154	4.2787	1
270.0444	1.249807692	4.2788	1
271.0444	1.249846154	4.279	1
272.0445	1.249846154	4.279	1
273.0446	1.249846154	4.2793	1
274.0446	1.249846154	4.2794	1
275.0447	1.249807692	4.2794	1
276.0437	1.249846154	4.2798	1
277.0438	1.249807692	4.2798	1
278.0438	1.249846154	4.2801	1
279.0439	1.249807692	4.2801	1
280.044	1.249846154	4.2803	1
281.044	1.249807692	4.2805	1
282.0441	1.249807692	4.2806	1
283.0441	1.249846154	4.2807	1
284.0442	1.249807692	4.2809	1
285.0442	1.249846154	4.2811	1
286.0443	1.249807692	4.2811	1
287.0444	1.249846154	4.2815	1
288.0444	1.249807692	4.2815	1
289.0445	1.249884615	4.2817	1
290.0445	1.249884615	4.2819	1
291.0446	1.249846154	4.282	1
292.0446	1.249884615	4.2822	1
293.0437	1.249846154	4.2824	1
294.0438	1.249884615	4.2825	1
295.0438	1.249846154	4.2825	1
296.0439	1.249884615	4.2827	1
297.0439	1.249884615	4.283	1
298.044	1.249846154	4.283	1
299.044	1.249884615	4.2833	1
300.0441	1.249846154	4.2834	1
301.0442	1.249884615	4.2836	1
302.0442	1.249846154	4.2836	1
303.0443	1.249884615	4.2838	1
304.0443	1.249884615	4.284	1
305.0444	1.249846154	4.284	1
306.0444	1.249884615	4.2843	1
307.0445	1.249846154	4.2844	1
308.0446	1.249884615	4.2845	1
309.0446	1.249846154	4.2847	1
310.0447	1.249884615	4.2849	1
311.0437	1.249884615	4.2851	1
312.0438	1.249846154	4.2851	1
313.0438	1.249884615	4.2852	1
314.0439	1.249846154	4.2854	1
315.044	1.249884615	4.2855	1
316.044	1.249846154	4.2856	1
317.0441	1.249884615	4.2858	1
318.0441	1.249884615	4.2859	1
319.0442	1.249846154	4.2861	1
320.0442	1.249884615	4.2862	1
321.0443	1.249884615	4.2864	1
322.0444	1.249923077	4.2866	1
323.0444	1.249884615	4.2867	1
324.0445	1.249923077	4.2869	1
325.0445	1.249884615	4.287	1
326.0446	1.249884615	4.2871	1
327.0446	1.249923077	4.2873	1
328.0437	1.249884615	4.2874	1
329.0438	1.249884615	4.2876	1
330.0438	1.249884615	4.2876	1
331.0439	1.249923077	4.2878	1
